CL_NUM,CL_AGUA
6108,0.0
5937,0.0
5970,0.0
5468,0.0
6379,0.0
6938,0.0
6771,0.0
6939,0.0
6937,0.0
6738,0.0
6214,0.0
6633,0.0
6941,0.0
6531,0.0
6729,0.0
6928,0.0
679,0.0
6942,0.0
6786,0.0
6943,0.0
140,0.0
6944,0.0
5771,0.0
1125,0.0
6945,0.0
6946,0.0
6947,0.0
694,0.0
5831,0.0
6948,0.0
6949,0.0
6950,0.0
6951,0.0
859,0.0
6952,0.0
6953,0.0
6954,0.0
6955,0.0
6956,0.0
6957,0.0
6958,0.0
6922,0.0
6960,0.0
6959,0.0
6961,0.0
6702,0.0
6962,0.0
6963,0.0
5859,0.0
6964,0.0
6965,0.0
6967,0.0
6966,0.0
6968,0.0
6969,0.0
6970,0.0
6971,0.0
6972,0.0
6103,0.0
6446,0.0
5785,0.0
6973,0.0
6974,0.0
6975,0.0
6976,0.0
6977,0.0
6978,0.0
6380,0.0
6979,0.0
6980,0.0
6981,0.0
6982,0.0
1045,0.0
6983,0.0
6138,0.0
5150,0.0
6984,0.0
6010,0.0
543,0.0
6167,0.0
6985,0.0
5068,0.0
6987,0.0
6823,0.0
6988,0.0
6683,0.0
5960,0.0
6989,0.0
6822,0.0
6990,0.0
6991,0.0
6140,0.0
6992,0.0
6993,0.0
5586,0.0
6994,0.0
6995,0.0
6996,0.0
6997,0.0
6998,0.0
6431,0.0
6999,0.0
6834,0.0
5967,0.0
7001,0.0
7002,0.0
7003,0.0
7004,0.0
6440,0.0
7005,0.0
5128,0.0
7006,0.0
7007,0.0
7008,0.0
7009,0.0
7010,0.0
7011,0.0
7012,0.0
7013,0.0
7014,0.0
7016,0.0
7017,0.0
764,0.0
7015,0.0
6032,0.0
7019,0.0
7020,0.0
7021,0.0
623,0.0
7022,0.0
5422,0.0
7023,0.0
7024,0.0
7025,0.0
7026,0.0
7027,0.0
7028,0.0
7029,0.0
7030,0.0
7031,0.0
6561,0.0
931,0.0
7032,0.0
7033,0.0
6861,0.0
1082,0.0
7035,0.0
