CL_NUM,PC_COD,PC_POR,PC_MON,PC_KEY
279,1,6.0,3500.0,000027901
282,1,0.0,49.99,000028201
283,1,4.0,3500.0,000028301
284,1,0.0,3500.0,000028401
285,1,0.0,3500.0,000028501
286,1,2.5,3500.0,000028601
288,1,0.0,3500.0,000028801
289,1,6.0,3500.0,000028901
290,1,0.0,3500.0,000029001
291,1,3.0,3500.0,000029101
293,1,0.0,3500.0,000029301
294,1,6.0,3500.0,000029401
295,1,0.0,49.99,000029501
296,1,0.0,3500.0,000029601
297,1,0.0,3500.0,000029701
298,1,0.0,3500.0,000029801
299,1,8.0,3500.0,000029901
300,1,0.0,49.99,000030001
301,1,1.5,3500.0,000030101
302,1,1.5,3500.0,000030201
303,1,0.0,3500.0,000030301
304,1,0.7,3500.0,000030401
305,1,8.0,3500.0,000030501
307,1,6.0,3500.0,000030701
308,1,0.0,3500.0,000030801
309,1,1.5,3500.0,000030901
310,1,0.0,49.99,000031001
311,1,0.5,3500.0,000031101
312,1,6.0,3500.0,000031201
313,1,5.0,3500.0,000031301
314,1,0.0,3500.0,000031401
315,1,1.6,3500.0,000031501
316,1,0.0,49.99,000031601
317,1,2.5,3500.0,000031701
318,1,0.0,3500.0,000031801
319,1,0.0,3500.0,000031901
320,1,6.0,3500.0,000032001
322,1,0.0,3500.0,000032201
324,1,0.0,3500.0,000032401
325,1,0.0,3500.0,000032501
326,1,0.0,3500.0,000032601
327,1,0.0,3500.0,000032701
328,1,0.0,3500.0,000032801
329,1,0.4,3500.0,000032901
331,1,0.0,3500.0,000033101
332,1,2.5,3500.0,000033201
333,1,0.0,49.99,000033301
335,1,0.0,3500.0,000033501
336,1,0.0,3500.0,000033601
337,1,0.0,49.99,000033701
338,1,5.0,3500.0,000033801
339,1,1.6,3500.0,000033901
340,1,0.0,3500.0,000034001
341,1,0.0,3500.0,000034101
342,1,0.0,3500.0,000034201
343,1,0.0,3500.0,000034301
344,1,0.5,3500.0,000034401
346,1,0.0,49.99,000034601
347,1,0.4,3500.0,000034701
348,1,6.0,3500.0,000034801
350,1,0.0,3500.0,000035001
351,1,0.0,3500.0,000035101
352,1,0.0,3500.0,000035201
354,1,0.0,3500.0,000035401
357,1,0.0,3500.0,000035701
358,1,0.0,3500.0,000035801
359,1,0.0,3500.0,000035901
360,1,0.0,49.99,000036001
361,1,0.4,3500.0,000036101
362,1,0.0,3500.0,000036201
363,1,0.0,49.99,000036301
364,1,0.4,3500.0,000036401
366,1,0.0,3500.0,000036601
367,1,0.0,3500.0,000036701
368,1,0.1,3500.0,000036801
369,1,0.4,3500.0,000036901
371,1,0.0,3500.0,000037101
372,1,1.6,3500.0,000037201
373,1,0.0,3500.0,000037301
376,1,5.0,3500.0,000037601
377,1,0.1,3500.0,000037701
378,1,0.0,3500.0,000037801
379,1,0.0,3500.0,000037901
380,1,0.0,3500.0,000038001
381,1,0.0,49.99,000038101
382,1,0.0,3500.0,000038201
383,1,0.0,3500.0,000038301
384,1,0.0,3500.0,000038401
385,1,0.0,3500.0,000038501
388,1,0.0,3500.0,000038801
389,1,6.0,49.99,000038901
390,1,0.0,3500.0,000039001
391,1,0.0,3500.0,000039101
392,1,0.0,3500.0,000039201
393,1,5.0,3500.0,000039301
394,1,1.5,3500.0,000039401
395,1,0.0,3500.0,000039501
396,1,0.0,49.99,000039601
398,1,1.6,3500.0,000039801
399,1,0.0,3500.0,000039901
400,1,5.0,3500.0,000040001
401,1,0.0,3500.0,000040101
402,1,0.0,3500.0,000040201
403,1,2.0,3500.0,000040301
404,1,4.0,3500.0,000040401
405,1,0.4,3500.0,000040501
406,1,0.0,3500.0,000040601
407,1,0.0,3500.0,000040701
408,1,0.0,3500.0,000040801
409,1,0.0,3500.0,000040901
410,1,0.0,3500.0,000041001
411,1,4.0,3500.0,000041101
412,1,0.0,3500.0,000041201
414,1,2.5,3500.0,000041401
415,1,0.8,3500.0,000041501
417,1,0.0,3500.0,000041701
418,1,2.5,3500.0,000041801
419,1,0.0,3500.0,000041901
420,1,0.0,49.99,000042001
421,1,0.0,3500.0,000042101
423,1,0.0,3500.0,000042301
424,1,1.6,3500.0,000042401
425,1,0.3,3500.0,000042501
426,1,6.0,3500.0,000042601
427,1,6.0,3500.0,000042701
428,1,0.0,3500.0,000042801
429,1,0.0,3500.0,000042901
430,1,6.0,3500.0,000043001
431,1,6.0,3500.0,000043101
432,1,0.0,49.99,000043201
433,1,0.0,3500.0,000043301
434,1,0.0,3500.0,000043401
435,1,0.0,3500.0,000043501
436,1,0.0,3500.0,000043601
437,1,0.0,3500.0,000043701
438,1,5.0,3500.0,000043801
439,1,0.0,49.99,000043901
440,1,0.0,3500.0,000044001
441,1,0.0,3500.0,000044101
443,1,0.0,3500.0,000044301
444,1,0.0,3500.0,000044401
445,1,4.0,3500.0,000044501
446,1,0.0,3500.0,000044601
447,1,0.0,3500.0,000044701
448,1,0.0,3500.0,000044801
449,1,0.0,49.99,000044901
450,1,0.0,3500.0,000045001
451,1,5.0,3500.0,000045101
452,1,0.0,3500.0,000045201
453,1,0.0,49.99,000045301
454,1,2.5,3500.0,000045401
455,1,0.4,3500.0,000045501
456,1,0.0,3500.0,000045601
457,1,0.0,3500.0,000045701
458,1,1.6,3500.0,000045801
459,1,0.0,3500.0,000045901
460,1,1.6,3500.0,000046001
461,1,0.0,3500.0,000046101
462,1,0.0,3500.0,000046201
463,1,0.1,3500.0,000046301
464,1,0.0,3500.0,000046401
465,1,0.0,3500.0,000046501
468,1,0.0,3500.0,000046801
469,1,2.5,3500.0,000046901
470,1,0.0,3500.0,000047001
471,1,0.0,3500.0,000047101
472,1,0.0,3500.0,000047201
473,1,0.0,3500.0,000047301
474,1,0.0,3500.0,000047401
475,1,5.0,3500.0,000047501
476,1,2.5,3500.0,000047601
477,1,0.0,3500.0,000047701
478,1,0.0,49.99,000047801
480,1,0.0,3500.0,000048001
481,1,0.0,3500.0,000048101
482,1,1.6,3500.0,000048201
483,1,0.0,49.99,000048301
485,1,6.0,3500.0,000048501
486,1,5.0,3500.0,000048601
487,1,0.0,49.99,000048701
489,1,0.0,3500.0,000048901
490,1,0.0,3500.0,000049001
491,1,0.0,3500.0,000049101
492,1,0.0,49.99,000049201
494,1,0.0,3500.0,000049401
495,1,2.5,3500.0,000049501
496,1,0.0,3500.0,000049601
497,1,0.3,3500.0,000049701
498,1,0.0,3500.0,000049801
499,1,6.0,3500.0,000049901
501,1,0.0,49.99,000050101
503,1,0.0,3500.0,000050301
504,1,0.0,3500.0,000050401
505,1,1.5,3500.0,000050501
506,1,0.0,3500.0,000050601
507,1,0.0,49.99,000050701
508,1,0.0,49.99,000050801
509,1,0.0,3500.0,000050901
510,1,0.0,3500.0,000051001
513,1,6.0,3500.0,000051301
514,1,0.0,3500.0,000051401
516,1,0.0,49.99,000051601
517,1,0.0,3500.0,000051701
518,1,0.0,3500.0,000051801
521,1,5.0,3500.0,000052101
523,1,0.0,3500.0,000052301
524,1,0.0,3500.0,000052401
526,1,0.0,3500.0,000052601
527,1,1.5,3500.0,000052701
528,1,2.5,3500.0,000052801
529,1,0.0,3500.0,000052901
530,1,0.0,3500.0,000053001
531,1,5.0,3500.0,000053101
533,1,0.0,3500.0,000053301
534,1,0.0,3500.0,000053401
535,1,0.0,3500.0,000053501
536,1,1.6,3500.0,000053601
537,1,0.0,49.99,000053701
538,1,1.6,3500.0,000053801
539,1,0.0,3500.0,000053901
540,1,2.5,3500.0,000054001
541,1,2.5,3500.0,000054101
542,1,6.0,3500.0,000054201
543,1,2.5,3500.0,000054301
544,1,2.5,3500.0,000054401
545,1,0.0,0.0,000054501
546,1,1.2,3500.0,000054601
547,1,6.0,3500.0,000054701
548,1,0.0,3500.0,000054801
549,1,0.0,3500.0,000054901
551,1,0.0,3500.0,000055101
552,1,0.7,3500.0,000055201
553,1,0.0,3500.0,000055301
554,1,0.0,3500.0,000055401
557,1,0.0,3500.0,000055701
558,1,5.0,3500.0,000055801
559,1,0.4,3500.0,000055901
560,1,5.0,3500.0,000056001
562,1,0.0,3500.0,000056201
