PR_NUM,RT_COD,RT_POR,RT_MON,RT_KEY,RT_ACU,RT_IVA
656,50,0.0,19000.0,000065650,0,0
658,50,0.7,19000.0,000065850,0,0
659,50,5.0,19000.0,000065950,0,0
660,50,0.9,19000.0,000066050,0,0
662,50,0.7,19000.0,000066250,0,0
664,50,0.9,19000.0,000066450,0,0
665,50,0.9,19000.0,000066550,0,0
666,50,3.5,19000.0,000066650,0,0
668,50,2.5,19000.0,000066850,0,0
642,50,0.0,19000.0,000064250,0,0
670,50,1.75,19000.0,000067050,0,0
671,50,1.2,19000.0,000067150,0,0
672,50,0.0,19000.0,000067250,0,0
673,50,2.5,19000.0,000067350,0,0
288,50,0.9,19000.0,000028850,0,0
674,50,0.0,19000.0,000067450,0,0
675,50,0.0,19000.0,000067550,0,0
677,50,0.0,19000.0,000067750,0,0
678,50,2.0,19000.0,000067850,0,0
679,50,0.9,19000.0,000067950,0,0
680,50,0.7,19000.0,000068050,0,0
682,50,2.5,19000.0,000068250,0,0
684,50,2.5,19000.0,000068450,0,0
683,50,2.5,19000.0,000068350,0,0
685,50,0.0,19000.0,000068550,0,0
686,50,0.7,19000.0,000068650,0,0
604,50,0.0,19000.0,000060450,0,0
687,50,2.5,19000.0,000068750,0,0
606,50,0.0,19000.0,000060650,0,0
688,50,2.5,19000.0,000068850,0,0
689,50,0.0,19000.0,000068950,0,0
690,50,0.0,19000.0,000069050,0,0
691,50,3.0,19000.0,000069150,0,0
30,50,0.0,19000.0,000003050,0,0
42,50,0.0,399.99,000004250,0,0
47,50,0.0,399.99,000004750,0,0
56,50,0.0,399.99,000005650,0,0
74,50,0.0,399.99,000007450,0,0
119,50,0.0,399.99,000011950,0,0
134,50,0.0,399.99,000013450,0,0
153,50,0.0,399.99,000015350,0,0
165,50,0.0,399.99,000016550,0,0
171,50,0.0,399.99,000017150,0,0
177,50,0.0,399.99,000017750,0,0
179,50,0.0,399.99,000017950,0,0
187,50,0.0,399.99,000018750,0,0
191,50,0.0,19000.0,000019150,0,0
207,50,0.0,399.99,000020750,0,0
214,50,0.0,399.99,000021450,0,0
224,50,0.0,19000.0,000022450,0,0
227,50,2.5,19000.0,000022750,0,0
234,50,0.0,399.99,000023450,0,0
236,50,0.0,399.99,000023650,0,0
242,50,0.0,399.99,000024250,0,0
255,50,0.0,399.99,000025550,0,0
257,50,0.0,399.99,000025750,0,0
265,50,0.0,399.99,000026550,0,0
273,50,0.0,399.99,000027350,0,0
280,50,0.0,399.99,000028050,0,0
294,50,0.0,399.99,000029450,0,0
304,50,2.5,19000.0,000030450,0,0
308,50,0.0,399.99,000030850,0,0
314,50,0.0,399.99,000031450,0,0
328,50,0.0,399.99,000032850,0,0
333,50,0.0,399.99,000033350,0,0
336,50,0.0,399.99,000033650,0,0
346,50,0.0,399.99,000034650,0,0
347,50,0.0,399.99,000034750,0,0
351,50,0.0,399.99,000035150,0,0
361,50,0.0,399.99,000036150,0,0
374,50,0.0,19000.0,000037450,0,0
377,50,0.0,399.99,000037750,0,0
382,50,0.0,399.99,000038250,0,0
391,50,0.0,399.99,000039150,0,0
410,50,0.0,399.99,000041050,0,0
425,50,0.0,399.99,000042550,0,0
432,50,0.0,399.99,000043250,0,0
437,50,0.0,399.99,000043750,0,0
449,50,0.0,399.99,000044950,0,0
451,50,0.0,399.99,000045150,0,0
458,50,0.0,399.99,000045850,0,0
467,50,0.0,399.99,000046750,0,0
468,50,0.0,399.99,000046850,0,0
476,50,1.75,19000.0,000047650,0,0
489,50,0.0,399.99,000048950,0,0
490,50,0.0,399.99,000049050,0,0
494,50,0.0,399.99,000049450,0,0
509,50,0.0,399.99,000050950,0,0
518,50,0.0,399.99,000051850,0,0
523,50,0.0,399.99,000052350,0,0
527,50,0.0,399.99,000052750,0,0
